Timestamp,Presion_hPa,Temp_Motor_C,Luminosidad_RAW,Distancia_cm,Estado_Operacion
2025-11-17 00:31:58.322145,912.76,38.52,0,61.04,0
2025-11-17 00:32:08.322145,904.48,33.92,1,62.89,1
2025-11-17 00:32:18.322145,903.23,28.41,1,107.53,1
2025-11-17 00:32:28.322145,911.21,34.66,0,43.15,0
2025-11-17 00:32:38.322145,906.69,33.41,1,37.83,1
2025-11-17 00:32:48.322145,900.34,37.07,0,107.46,0
2025-11-17 00:32:58.322145,913.32,33.24,1,14.28,1
2025-11-17 00:33:08.322145,919.98,37.26,0,99.34,0
2025-11-17 00:33:18.322145,911.01,27.65,0,25.59,0
2025-11-17 00:33:28.322145,918.44,36.45,1,87.38,1
2025-11-17 00:33:38.322145,901.9,28.4,0,24.72,0
2025-11-17 00:33:48.322145,910.58,31.86,0,60.81,0
2025-11-17 00:33:58.322145,906.38,39.41,1,20.99,1
2025-11-17 00:34:08.322145,916.04,39.26,0,48.23,0
2025-11-17 00:34:18.322145,909.19,28.46,0,38.81,0
2025-11-17 00:34:28.322145,905.86,26.69,0,27.74,0
2025-11-17 00:34:38.322145,907.51,27.91,1,83.45,1
2025-11-17 00:34:48.322145,900.53,30.67,1,86.66,1
2025-11-17 00:34:58.322145,908.27,27.03,0,73.88,0
2025-11-17 00:35:08.322145,911.42,30.61,1,12.76,1
2025-11-17 00:35:18.322145,903.7,30.51,1,39.57,1
2025-11-17 00:35:28.322145,918.01,36.11,1,65.85,1
2025-11-17 00:35:38.322145,913.05,39.77,1,41.83,1
2025-11-17 00:35:48.322145,913.09,28.77,1,101.68,1
2025-11-17 00:35:58.322145,915.33,29.78,1,93.1,1
2025-11-17 00:36:08.322145,905.72,37.75,0,59.43,0
2025-11-17 00:36:18.322145,911.95,32.82,1,17.44,1
2025-11-17 00:36:28.322145,912.03,37.64,0,113.04,0
2025-11-17 00:36:38.322145,913.79,36.81,1,108.81,1
2025-11-17 00:36:48.322145,909.96,27.82,0,112.88,0
2025-11-17 00:36:58.322145,913.89,39.49,1,64.49,1
2025-11-17 00:37:08.322145,908.86,29.19,0,74.43,0
2025-11-17 00:37:18.322145,904.27,37.16,1,61.35,1
2025-11-17 00:37:28.322145,903.04,29.9,0,78.04,0
2025-11-17 00:37:38.322145,918.43,30.16,0,96.63,0
2025-11-17 00:37:48.322145,918.15,30.94,1,26.89,1
2025-11-17 00:37:58.322145,909.95,25.34,1,53.69,1
2025-11-17 00:38:08.322145,907.73,37.2,1,23.02,1
2025-11-17 00:38:18.322145,904.25,28.99,1,77.12,1
2025-11-17 00:38:28.322145,913.68,34.22,0,100.8,0
2025-11-17 00:38:38.322145,916.77,28.88,0,82.91,0
2025-11-17 00:38:48.322145,912.7,37.98,1,20.43,1
2025-11-17 00:38:58.322145,903.71,30.16,1,50.37,1
2025-11-17 00:39:08.322145,911.68,34.65,1,103.94,1
2025-11-17 00:39:18.322145,906.49,38.48,1,102.08,1
2025-11-17 00:39:28.322145,901.36,32.4,1,60.18,1
2025-11-17 00:39:38.322145,903.37,39.13,0,46.86,0
2025-11-17 00:39:48.322145,901.56,33.47,1,21.13,1
2025-11-17 00:39:58.322145,917.71,31.87,1,103.23,1
2025-11-17 00:40:08.322145,918.55,38.92,0,43.11,0
2025-11-17 00:40:18.322145,913.48,29.07,1,79.76,1
2025-11-17 00:40:28.322145,900.46,31.82,0,61.44,0
2025-11-17 00:40:38.322145,907.15,29.34,1,107.17,1
2025-11-17 00:40:48.322145,918.32,32.22,1,29.04,1
2025-11-17 00:40:58.322145,918.13,29.17,1,78.88,1
2025-11-17 00:41:08.322145,919.27,37.75,1,26.67,1
2025-11-17 00:41:18.322145,904.89,34.79,0,90.96,0
2025-11-17 00:41:28.322145,905.63,32.22,1,89.39,1
2025-11-17 00:41:38.322145,912.16,31.63,1,16.22,1
2025-11-17 00:41:48.322145,916.54,25.68,1,17.68,1
2025-11-17 00:41:58.322145,911.07,29.2,0,98.49,0
2025-11-17 00:42:08.322145,908.54,39.75,1,88.48,1
2025-11-17 00:42:18.322145,909.43,38.57,1,101.71,1
2025-11-17 00:42:28.322145,906.0,30.87,0,73.9,0
