Timestamp,DeltaT_C,TempMotor_C,TempAmbienteEstimada_C
2025-11-17 00:31:58.322145,29.2458,38.52,9.2742
2025-11-17 00:32:08.322145,25.1454,33.92,8.77463
2025-11-17 00:32:18.322145,19.7112,28.41,8.69882
2025-11-17 00:32:28.322145,25.479,34.66,9.18103
2025-11-17 00:32:38.322145,24.5016,33.41,8.90842
2025-11-17 00:32:48.322145,28.5469,37.07,8.52313
2025-11-17 00:32:58.322145,23.9322,33.24,9.30783
2025-11-17 00:33:08.322145,27.5539,37.26,9.70614
2025-11-17 00:33:18.322145,18.481,27.65,9.169
2025-11-17 00:33:28.322145,26.8357,36.45,9.61429
2025-11-17 00:33:38.322145,19.782,28.4,8.61803
2025-11-17 00:33:48.322145,22.7169,31.86,9.14312
2025-11-17 00:33:58.322145,30.5203,39.41,8.88967
2025-11-17 00:34:08.322145,29.7891,39.26,9.47085
2025-11-17 00:34:18.322145,19.4006,28.46,9.05937
2025-11-17 00:34:28.322145,17.8318,26.69,8.85821
2025-11-17 00:34:38.322145,18.952,27.91,8.95798
2025-11-17 00:34:48.322145,22.1353,30.67,8.5347
2025-11-17 00:34:58.322145,18.0261,27.03,9.00387
2025-11-17 00:35:08.322145,21.4163,30.61,9.19366
2025-11-17 00:35:18.322145,21.7827,30.51,8.72734
2025-11-17 00:35:28.322145,26.5214,36.11,9.58862
2025-11-17 00:35:38.322145,30.4784,39.77,9.29162
2025-11-17 00:35:48.322145,19.476,28.77,9.29402
2025-11-17 00:35:58.322145,20.3517,29.78,9.42834
2025-11-17 00:36:08.322145,28.9003,37.75,8.84974
2025-11-17 00:36:18.322145,23.5945,32.82,9.22553
2025-11-17 00:36:28.322145,28.4097,37.64,9.23034
2025-11-17 00:36:38.322145,27.474,36.81,9.33603
2025-11-17 00:36:48.322145,18.7142,27.82,9.10578
2025-11-17 00:36:58.322145,30.148,39.49,9.34203
2025-11-17 00:37:08.322145,20.1505,29.19,9.03947
2025-11-17 00:37:18.322145,28.3981,37.16,8.7619
2025-11-17 00:37:28.322145,21.2127,29.9,8.68728
2025-11-17 00:37:38.322145,20.5463,30.16,9.6137
2025-11-17 00:37:48.322145,21.343,30.94,9.59698
2025-11-17 00:37:58.322145,16.2348,25.34,9.10517
2025-11-17 00:38:08.322145,28.2287,37.2,8.97126
2025-11-17 00:38:18.322145,20.2293,28.99,8.76069
2025-11-17 00:38:28.322145,24.8906,34.22,9.32943
2025-11-17 00:38:38.322145,19.3655,28.88,9.51452
2025-11-17 00:38:48.322145,28.7094,37.98,9.2706
2025-11-17 00:38:58.322145,21.4321,30.16,8.72794
2025-11-17 00:39:08.322145,25.4407,34.65,9.2093
2025-11-17 00:39:18.322145,29.5837,38.48,8.89632
2025-11-17 00:39:28.322145,23.8148,32.4,8.5852
2025-11-17 00:39:38.322145,30.4227,39.13,8.70731
2025-11-17 00:39:48.322145,24.8726,33.47,8.59736
2025-11-17 00:39:58.322145,22.2993,31.87,9.5707
2025-11-17 00:40:08.322145,29.2991,38.92,9.62086
2025-11-17 00:40:18.322145,19.7526,29.07,9.31743
2025-11-17 00:40:28.322145,23.2896,31.82,8.53044
2025-11-17 00:40:38.322145,20.4038,29.34,8.93622
2025-11-17 00:40:48.322145,22.6129,32.22,9.60713
2025-11-17 00:40:58.322145,19.5742,29.17,9.59579
2025-11-17 00:41:08.322145,28.0862,37.75,9.66381
